,no,tProfit,ave(%),,,
748,4904,-0.05,-0.17,0,,
749,6164,-0.05,-1.73,0,,
750,6189,-0.05,-0.17,0,,
751,6216,-0.05,-0.14,0,,
752,6224,-0.05,-0.13,0,,
753,6415,-0.05,-0.1,0,,
754,8411,-0.05,-0.16,0,,
755,9958,-0.05,-0.32,0,,
756,1101,-0.06,-0.17,0,,
757,1436,-0.06,-0.32,0,,
758,1470,-0.06,-1.54,0,,
759,1525,-0.06,-0.5,0,,
760,2208,-0.06,-0.24,0,,
761,2356,-0.06,-0.34,0,,
762,2357,-0.06,-0.22,0,,
763,2363,-0.06,-0.21,0,,
764,2431,-0.06,-0.33,0,,
765,2485,-0.06,-0.5,0,,
766,2486,-0.06,-0.33,0,,
767,2537,-0.06,-0.32,0,,
768,2540,-0.06,-0.4,0,,
769,2712,-0.06,-0.43,0,,
770,3321,-0.06,-1.13,0,,
771,4915,-0.06,-0.2,0,,
772,8072,-0.06,-0.37,0,,
773,8101,-0.06,-0.71,0,,
774,8213,-0.06,-0.42,0,,
775,8271,-0.06,-0.9,0,,
776,9945,-0.06,-0.27,0,,
777,1339,-0.07,-0.21,0,,
778,1469,-0.07,-0.21,0,,
779,1528,-0.07,-0.3,0,,
780,1626,-0.07,-0.26,0,,
781,2059,-0.07,-0.37,0,,
782,2467,-0.07,-0.22,0,,
783,2484,-0.07,-0.31,0,,
784,2613,-0.07,-0.31,0,,
785,2886,-0.07,-0.19,0,,
786,3312,-0.07,-0.5,0,,
787,3376,-0.07,-0.24,0,,
788,3454,-0.07,-0.23,0,,
789,3669,-0.07,-0.51,0,,
790,4942,-0.07,-0.34,0,,
791,6117,-0.07,-0.2,0,,
792,9924,-0.07,-0.57,0,,
793,1532,-0.08,-0.35,0,,
794,2349,-0.08,-0.35,0,,
795,2472,-0.08,-0.22,0,,
796,3036,-0.08,-0.41,0,,
797,3164,-0.08,-0.47,0,,
798,3557,-0.08,-0.48,0,,
799,5234,-0.08,-0.64,0,,
