"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="2345","智邦","96.2","0.89","0.99","1.19","1.17"
="2347","聯強","38.35","0.73","0.79","0.68","0.8"
="2348","海悅","27.9","0.03","0","0.22","0.6"
="2349","錸德","5","-0.23","-0.54","-0.23","-0.23"
="2351","順德","93.2","1.05","1.12","0.85","0.98"
="2352","佳世達","21.5","0.73","0.81","0.63","0.69"
="2353","宏碁","17.45","0.08","-1.9","0.02","0.08"
="2354","鴻準","91.9","2.36","1.67","0.72","1.18"
="2355","敬鵬","62.6","1.45","1.66","0.97","0.98"
="2356","英業達","23.6","0.34","0.5","0.19","0.54"
="2357","華碩","259","8.05","6.65","4.92","2.7"
="2358","廷鑫","21.8","-0.62","-1.09","0.25","0.19"
="2359","所羅門","22.35","0.12","0.44","-0.06","0.28"
="2360","致茂","160","1.52","1.01","0.75","1.29"
="2362","藍天","31.75","0.05","0.37","0.06","0.46"
="2363","矽統","8.9","0.17","-0.28","-0.2","-0.16"
="2364","倫飛","2.6","-0.86","-0.43","-0.46","-0.16"
="2365","昆盈","10.7","-0.18","-0.76","-0.1","0.04"
="2367","燿華","16.1","-0.24","0.54","-0.44","0.05"
="2368","金像電","10.85","0.23","0.23","-0.34","0.09"
="2369","菱生","16.05","0.42","0.11","0.11","0.08"
="2371","大同","13.4","-0.19","-0.18","0.04","0.24"
="2373","震旦行","88.3","1.11","1.03","1.05","1.08"
="2374","佳能","20.45","0.81","0.49","0.06","0.25"
="2375","智寶","29","0.01","0.2","0.24","1.05"
="2376","技嘉","45.5","1.29","0.81","0.43","0.91"
="2377","微星","77.5","1.91","1.41","1.63","0.77"
="2379","瑞昱","115.5","1.48","1.35","1","1.85"
="2380","虹光","6.81","-0.34","-0.34","-0.63","-0.53"
="2382","廣達","71.9","1.03","1.06","0.72","1.03"
="2383","台光電","113.5","2.59","2.49","2.26","2.29"
="2385","群光","76.2","1.15","2.09","0.9","1.3"
="2387","精元","17.3","0.52","0.57","0.81","0.01"
="2388","威盛","10.7","0.07","0.06","0.04","0.03"
="2390","云辰","11.95","-0.26","0.01","-0.41","-0.3"
